entity,count
'Insulin',3881
human',3644
['Insulin'],2359
['Insulin',1983
'Insulin'],1350
'Peroxisome Proliferator-Activated Receptors',994
'Glucagon-Like Peptide 1',944
'glucagon',762
'Dipeptidyl-Peptidase IV',622
'receptor',562
'Insulin Receptor',546
'Gastric Inhibitory Polypeptide',475
human'],475
'Glucagon-Like Peptide-1 Receptor',411
'Incretins',353
'DPP4 protein,344
'G-Protein-Coupled Receptors',293
'Peptidyl-Dipeptidase A',287
'Proto-Oncogene Proteins c-akt',274
'leptin',255
'Glucagon-Like Peptides',253
'Apolipoproteins',244
['Peroxisome Proliferator-Activated Receptors',243
'Receptors,243
'Cathepsin C',222
'Glycoside Hydrolases',217
'diacylglycerol O-acyltransferase',213
['Glucagon-Like Peptide 1',211
regular,210
'Glucagon Receptor',206
'Proglucagon',198
'Sodium-Glucose Transport Proteins',197
'neuropeptide Y',191
'Insulin-Like Growth Factor I',191
'insulin,189
'Homo sapiens',188
'Adiponectin',186
'Protein Tyrosine Phosphatase',184
'Somatomedins',179
'Low-Density Lipoproteins',176
'Alpha-glucosidase',176
'Adenylate Cyclase',170
'Glucokinase',170
'AMP-Activated Protein Kinases',165
'Peroxisome Proliferator-Activated Receptors'],156
'Sialyltransferases',155
'Calcitonin Gene-Related Peptide',153
'Acetyl-CoA Carboxylase',153
['glucagon',152
'Somatotropin-Releasing Hormone',151
'Amylin',148
'collagen',147
'Fibroblast Growth Factor',147
'High Density Lipoproteins',144
'PPAR gamma',143
'Interleukin-2',141
'Glycogen Synthase Kinase 3',141
'Peroxisome Proliferator-Activated Receptor Gamma,139
'Glucagon-Like Peptide 2',130
'11-beta-Hydroxysteroid Dehydrogenase Type 1',129
'fibroblast growth factor 21',129
'glucagon'],128
'Interferons',128
Human herpesvirus 8',126
'ORF74 protein,126
'Metalloproteases',123
'Insulin-Like-Growth Factor I Receptor',119
'Receptor,118
'LIPOPROTEIN LIPASE',116
'Immunoglobulins',115
'Insulin Receptor'],115
'leptin'],114
'Decreased HDL cholesterol concentration',114
'somatostatin',113
'uridine triacetate',112
'interleukin-6',111
'RNA,111
'Aminopeptidase',110
'ACACB gene',109
'FRAP1 protein,108
'Glucocorticoid Receptor',108
Messenger',107
['leptin',107
'GLUCOSE-6-PHOSPHATASE',106
'Stearoyl-CoA Desaturase',104
'Very low density lipoprotein',101
'TNF protein,101
'Peptide YY',101
'cholecystokinin',101
'Fatty-acid synthase',100
'SLC5A2 gene',99
'Estrogen Receptors',99
'Glucagon-Like Peptide 1'],99
'GLUCOSIDASE',99
'GLUCOSIDASE'],98
'Oxyntomodulin',98
'GDF8 protein,98
'Peptide Hydrolases',96
'TNF gene',96
'ghrelin',96
'Cyclic AMP-Dependent Protein Kinases',95
'MTOR gene',95
'NOS3 protein,93
'APP gene',93
'Carnitine O-Palmitoyltransferase',93
'Interleukin-1',91
['SLC5A2 gene',89
'ACACA gene',88
'ADENOSINE DEAMINASE',87
'Somatomedins'],87
'Hydroxysteroid Dehydrogenases',87
'Glucagon-Like Peptide-2 Receptor',87
'1-Phosphatidylinositol 3-Kinase',86
'Phosphoenolpyruvate Carboxylase',85
'DGAT1 gene',83
'Mineralocorticoid Receptor',81
'Albumins',81
'cAMP-dependent protein kinase activity',80
'phosphoric diester hydrolase',79
'Glucose Transporter',79
['DPP4 protein,79
'GCG gene',78
'TP53 gene',78
'Exoglycosidases',78
'Glycosylated hemoglobin A',76
'Serine Proteases',76
'DPP4 gene',76
'vasoactive intestinal peptide',76
'Fucosyltransferase',76
'FOXO1 gene',76
['fibroblast growth factor 21',75
'Incretins'],75
'Apolipoproteins B',75
'Insulin Pens'],75
'Insulin-Like Growth-Factor-Binding Proteins',74
'FFAR1 gene',74
'corticotropin',72
'pyruvate dehydrogenase',71
'CALCA gene',71
'Beta-N-Acetylglucosaminidase',70
'HEXOKINASE',69
'Aspartic Acid Endopeptidases',69
'melanocortin receptor',69
'Amyloid',68
['Calcitonin-Gene Related Peptide Receptor',68
'Transforming Growth Factor beta',68
'IRS1 protein,68
'tau Proteins',68
'Fibronectins',67
'Matrix Metalloproteinases',66
'Angiotensins',66
'plasma insulin',66
'Very low density lipoprotein'],66
'SLC5A1 gene',66
'plasma insulin'],65
'growth hormone secretagogue receptor',65
['Glucokinase',65
'Androgen Receptor',65
'Glycogen (Starch) Synthase',64
'insulin-like growth factor 2',64
'Hydroxymethylglutaryl-CoA reductase',63
'Serine Endopeptidases',63
'alogliptin',63
['Adiponectin',62
'SLC2A4 gene',62
['Insulin-Like Growth Factor I',62
'BACE1 protein,62
'Nuclear Hormone Receptors',62
'Apolipoprotein E',61
'11-beta-Hydroxysteroid Dehydrogenases',61
'C-reactive protein',61
'sitagliptin',60
'GLP1R gene',57
'NR1H4 gene',56
'GTP-Binding Proteins',56
'Mitogen-Activated Protein Kinases',56
'Glycogen Synthase Kinases',56
'glucagon-like peptide 1 (7-37)',55
'N-Methyl-D-Aspartate Receptors',55
'PPARG gene',55
'Insulin Analog [EPC]',55
'chrysarobin',54
'angiotensin II',54
'Pro-Opiomelanocortin',54
'Erythropoietin',54
'gastric inhibitory polypeptide receptor',54
'PPAR alpha',53
'peptidyl dipeptidase 4',53
Human',53
'BCL2 gene',53
'Adrenergic Receptor',53
'TRANSCRIPTION FACTOR',53
'Retinoid X Receptors',52
'Renin'],52
'Adenomatous Polyposis Coli',52
'leptin receptor',52
'Mitogen-Activated Protein Kinase Kinases',51
'steroid hormone receptor',51
'Presenilins',51
'CALCA wt Allele',50
'Dipeptidyl-Peptidase IV'],50
'superoxide dismutase',50
['Insulin Receptor',50
'CALCB gene',50
'Serine Endopeptidases'],49
'Gastrins',49
'glycosyltransferase',48
'X-Pro dipeptidase',48
'FGF19 gene',47
['Somatomedins',47
'insulinoma',47
'Glycoproteins',47
'Catenins'],47
'HLA Antigens',47
'APOC3 gene',47
'exendin 3',47
'Nitric Oxide Synthase',46
'Protein-Serine-Threonine Kinases',46
'CLTRN gene',46
'Sodium-Glucose Transporter 1',45
'Phosphoenolpyruvate',45
'LDL Cholesterol Lipoproteins',45
'gamma-Secretase',45
'von Willebrand factor',45
'Fibroblast Growth Factor Receptors',45
'Hepatocyte Nuclear Factors',45
'T-Cell Receptor',45
'Preproglucagon',45
'Cholinesterases',44
bovine',44
'glucagon,44
'SLC2A1 gene',44
'receptor'],44
'Proinsulin',44
'Sodium-Glucose Transport Proteins'],44
'AGRP gene',44
'Neprilysin',43
'mechanistic target of rapamycin complex 1',43
'Fatty Acid-Binding Proteins',43
'serum albumin,43
'apolipoprotein C-III',43
'Cyclic Nucleotide Phosphodiesterases,43
'BACE1 gene',42
'BAX gene',42
'gonadorelin',42
'N-Acetyllactosamine Synthase',42
'Peptide T',42
'Endoplasmic Reticulum',42
['APP gene',42
'DGAT2 gene',42
'ANXA2 protein,42
'TFDP3 gene',42
'Xaa-Pro dipeptidyl-peptidase',42
'immunoglobulin G',42
['Glucagon-Like Peptides',42
'Adrenergic Receptor'],42
'11-beta-Hydroxysteroid Dehydrogenase Type 2',41
'TRANSCRIPTION FACTOR'],41
'Carnitine O-Palmitoyltransferase'],41
'oligosaccharyltransferase complex',41
'SLC5A4 gene',41
'Cholecystokinin Receptor',41
'sterol esterase',41
'Histone Deacetylase',41
'somatostatin'],41
'Endoglycosidases',41
'Protein Tyrosine Kinase',41
'MLXIPL gene',41
'High Density Lipoprotein Cholesterol',41
'Ubiquitination',41
'MARK2 gene',41
'Sterol Regulatory Element Binding Proteins',40
'CRISPR-Associated Protein 9',40
['C-reactive protein',40
'CA-19-9 Antigen',40
'DPP9 protein,40
'Membrane Transport Proteins',40
'Polypeptides',40
'beta-2 Microglobulin',40
'calcitonin',40
'Mannosidase',39
['glycosyltransferase',39
'ribonuclease B',39
'N-Acetylglucosaminyltransferases',39
'GPR119 gene',39
'Galactose Oxidase',39
'Proglucagon'],39
'Intercellular adhesion molecule 1',39
'PPAR gamma'],39
'somatropin',39
'elastin',38
'Antigens,38
'Melanocortins',38
'Cytochrome P450',38
'collagenase',38
['tau Proteins',37
'Fatty-acid synthase'],37
'MC4R protein,37
['ghrelin',37
'IGF1 gene',37
'pantetheinase activity',37
'Endoglycosidase [EPC]',37
'Lipoproteins,36
'Apolipoprotein A-I',36
'PTH protein,36
'saxagliptin',36
'ATP Citrate (pro-S)-Lyase',36
'Guanylate Cyclase',36
['DGAT1 gene',36
'KL protein,36
'Tumor Necrosis Factors',35
'MECA-79 antigen',35
'Poly(ADP-ribose) Polymerases',35
